Room Id,Data entry ,Activities,Room loading,Specs,Rooms Completed
Totals -->,68,0,31,0,0
ED001,Yes,0,Yes,0,
ED002,Yes,0,,0,
ED003,Yes,0,,0,
ED004,Yes,0,,0,
ED008,Yes,0,Yes,0,
ED009,Yes,0,Yes,0,
ED010,Yes,0,Yes,0,
ED011,Yes,0,Yes,0,
ED012,Yes,0,,0,
ED013,Yes,0,Yes,0,
ED015,Yes,0,Yes,0,
ED016,Yes,0,0,0,
IMG009,Yes,0,Yes,0,
IMG011,Yes,0,Yes,0,
IMG016,Yes,0,Yes,0,
IMG017,Yes,0,Yes,0,
IMG019,Yes,0,Yes,0,
IMG020,0,0,Yes,0,
IMG022,Yes,0,Yes,0,
INP001,Yes,0,,0,
INP002,Yes,,,0,
INP003,Yes,,,0,
INP004,Yes,,,0,
INP005,Yes,,,0,
INP006,Yes,,,0,
INP007,Yes,,,0,
INP008,Yes,,,0,
INP009,Yes,,,0,
INP010,Yes,0,Yes,0,
INP011,Yes,0,,0,
INP012,Yes,0,,0,
INP013,Yes,0,,0,
OT001,Yes,0,,0,
OT002,Yes,0,Yes,0,
OT003,Yes,0,Yes,0,
OT005,Yes,0,,0,
OT007,Yes,0,,0,
OT010,Yes,0,,0,
OT015,Yes,0,,0,
OT017,Yes,0,,0,
OT023,Yes,0,,0,
OT025,Yes,,Yes,0,
OT026,Yes,0,,0,
OT027,Yes,0,,0,
OT028,Yes,0,,0,
OT029,Yes,0,,0,
OT030,Yes,0,,0,
OT031,Yes,0,,0,
OT032,Yes,0,,0,
OUT001,Yes,,,0,
OUT002,Yes,,,0,
OUT003,Yes,,,0,
OUT004,Yes,0,Yes,0,
OUT005,Yes,0,Yes,0,
OUT017,Yes,0,,0,
OUT030,Yes,0,Yes,0,
WHO001,Yes,0,Yes,0,
WHO002,Yes,0,Yes,0,
WHO003,Yes,0,Yes,0,
WHO004,Yes,0,Yes,0,
WHO005,Yes,0,Yes,0,
WHO007,Yes,0,Yes,0,
WHO008,Yes,0,Yes,0,
WHO024,Yes,0,,0,
WHO025,Yes,0,,0,
WHO026,Yes,0,,0,
WHO027,Yes,0,Yes,0,
WHO029,Yes,0,Yes,0,
WHO035,Yes,0,Yes,0,
